split,contrast,scene,group,compositions,patch_mean_delta,pixel_mean_delta
val,B-A,Place147,multi,1,0.0070574283599853516,0.007524275736045194
val,B-A,Place162,all,2,0.2612885981798172,0.25827147114479
val,B-A,Place162,single,1,-0.3191061317920685,-0.3184104741432725
val,B-A,Place162,multi,1,0.8416833281517029,0.8349534164328525
val,B-A,Place168,all,2,0.08186164498329163,0.08187309767031925
val,B-A,Place168,single,1,0.18274235725402832,0.1827992730058089
val,B-A,Place168,multi,1,-0.01901906728744507,-0.019053077665170393
val,B-A,Place169,all,2,-0.19154196977615356,-0.17542000736680158
val,B-A,Place169,single,1,0.20023179054260254,0.2001790680939729
val,B-A,Place169,multi,1,-0.5833157300949097,-0.5510190828275761
val,B-A,Place17,all,2,-0.6408970355987549,-0.6289972286959373
val,B-A,Place17,single,1,-2.1877212524414062,-2.1877008007613457
val,B-A,Place17,multi,1,0.9059271812438965,0.929706343369471
val,B-A,Place174,all,2,-0.24549180269241333,-0.24751044851727277
val,B-A,Place174,single,1,-0.2677074670791626,-0.2677046222083561
val,B-A,Place174,multi,1,-0.22327613830566406,-0.22731627482618944
val,B-A,Place176,all,2,0.3943767845630646,0.4138224040254752
val,B-A,Place176,single,1,0.9212349057197571,0.9213979562020866
val,B-A,Place176,multi,1,-0.13248133659362793,-0.09375314815113622
val,B-A,Place177,all,2,-0.02403116226196289,0.004517655180936275
val,B-A,Place177,single,1,0.3375880718231201,0.33756099524212235
val,B-A,Place177,multi,1,-0.3856503963470459,-0.3285256848802498
val,B-A,Place189,all,2,-0.48949190974235535,-0.4705463860747822
val,B-A,Place189,single,1,-0.22585242986679077,-0.22589150146060033
val,B-A,Place189,multi,1,-0.7531313896179199,-0.7152012706889641
val,B-A,Place195,all,2,0.3386929929256439,0.33210093188098205
val,B-A,Place195,single,1,0.7094075083732605,0.7093638320255834
val,B-A,Place195,multi,1,-0.032021522521972656,-0.04516196826361929
val,B-A,Place198,all,2,0.441652275621891,0.43520449633954594
val,B-A,Place198,single,1,0.7542845755815506,0.7539102610338435
val,B-A,Place198,multi,1,0.12901997566223145,0.11649873164524838
val,B-A,Place2,all,2,0.3407323360443115,0.33795641316939895
val,B-A,Place2,single,1,0.24906837940216064,0.2490704686519849
val,B-A,Place2,multi,1,0.4323962926864624,0.426842357686813
val,B-A,Place202,all,2,-0.3890197277069092,-0.3972472088019279
val,B-A,Place202,single,1,-0.9346494674682617,-0.93465802573186
val,B-A,Place202,multi,1,0.15661001205444336,0.1401636081280042
val,B-A,Place209,all,2,0.7690446823835373,0.7491738497699201
val,B-A,Place209,single,1,1.1892287731170654,1.1890941856998487
val,B-A,Place209,multi,1,0.34886059165000916,0.30925351383999133
val,B-A,Place21,all,2,-0.11491000652313232,-0.03309153244640539
val,B-A,Place21,single,1,0.3784325122833252,0.3784248334670339
val,B-A,Place21,multi,1,-0.6082525253295898,-0.4446078983598447
val,B-A,Place212,all,2,0.2813575267791748,0.2959033197276155
val,B-A,Place212,single,1,0.975043773651123,0.9750438943695299
val,B-A,Place212,multi,1,-0.41232872009277344,-0.38323725491429883
val,B-A,Place218,all,2,0.09876760840415955,0.10468151037580226
val,B-A,Place218,single,1,0.17897969484329224,0.17893728829724187
val,B-A,Place218,multi,1,0.018555521965026855,0.03042573245436264
val,B-A,Place219,all,2,0.07281750440597534,0.08036375957764841
val,B-A,Place219,single,1,0.08744180202484131,0.08744943175162923
val,B-A,Place219,multi,1,0.058193206787109375,0.07327808740366759
val,B-A,Place229,all,2,1.9531497955322266,1.331726581916929
val,B-A,Place229,single,1,-0.1958012580871582,-0.19576276416874722
val,B-A,Place229,multi,1,4.102100849151611,2.8592159280026053
val,B-A,Place234,all,2,-0.07473993301391602,-0.07480712243805021
val,B-A,Place234,single,1,-0.017650604248046875,-0.01764996510754724
val,B-A,Place234,multi,1,-0.13182926177978516,-0.13196427976855318
val,B-A,Place235,all,2,0.53843092918396,0.5999861112518738
val,B-A,Place235,single,1,0.16661691665649414,0.16661316473569343
val,B-A,Place235,multi,1,0.9102449417114258,1.0333590577680543
val,B-A,Place237,all,2,6.508715629577637,6.495131964676776
val,B-A,Place237,single,1,5.10264778137207,5.102645094047803
val,B-A,Place237,multi,1,7.914783477783203,7.887618835305748
val,B-A,Place243,all,2,-0.2335074543952942,-0.246403764052665
val,B-A,Place243,single,1,-0.032140135765075684,-0.03232623191383721
val,B-A,Place243,multi,1,-0.4348747730255127,-0.4604812961914928
val,B-A,Place245,all,2,1.9114909172058105,1.919755485617741
val,B-A,Place245,single,1,5.7796125411987305,5.779655650705349
val,B-A,Place245,multi,1,-1.9566307067871094,-1.9401446794698671
val,B-A,Place247,all,2,1.2386407852172852,1.1371286289307116
val,B-A,Place247,single,1,-0.27783679962158203,-0.2778358876135858
val,B-A,Place247,multi,1,2.7551183700561523,2.552093145475009
val,B-A,Place250,all,2,0.49454355239868164,0.4943767282869642
val,B-A,Place250,single,1,-0.202392578125,-0.20239154552068106
val,B-A,Place250,multi,1,1.1914796829223633,1.1911450020946095
val,B-A,Place265,all,2,0.08483940362930298,0.38141342375617926
val,B-A,Place265,single,1,0.963509202003479,0.9636747125952154
val,B-A,Place265,multi,1,-0.793830394744873,-0.2008478650828569
val,B-A,Place279,all,2,0.2693748474121094,0.2674323256036082
val,B-A,Place279,single,1,0.22596454620361328,0.2259687439807263
val,B-A,Place279,multi,1,0.31278514862060547,0.3088959072264901
val,B-A,Place306,all,2,-0.0058879852294921875,0.0076907318324284935
val,B-A,Place306,single,1,0.14512038230895996,0.14504072332999945
val,B-A,Place306,multi,1,-0.15689635276794434,-0.12965925966514247
val,B-A,Place314,all,2,0.1441369354724884,0.03253961035289704
val,B-A,Place314,single,1,-0.18672841787338257,-0.18671638979722427
val,B-A,Place314,multi,1,0.4750022888183594,0.25179561050301835
val,B-A,Place32,all,2,-0.8967769145965576,-0.8987408798415433
val,B-A,Place32,single,1,-0.8175920248031616,-0.8172805145853338
val,B-A,Place32,multi,1,-0.9759618043899536,-0.9802012450977526
val,B-A,Place327,all,2,0.6336178183555603,0.5285436219805784
val,B-A,Place327,single,1,-0.37592613697052,-0.3759364177116815
val,B-A,Place327,multi,1,1.6431617736816406,1.4330236616728382
val,B-A,Place331,all,2,-0.21043309569358826,-0.21807734861119848
val,B-A,Place331,single,1,-0.3311440348625183,-0.3310249162094073
val,B-A,Place331,multi,1,-0.0897221565246582,-0.10512978101298964
val,B-A,Place340,all,2,-0.34446191787719727,-0.34445157176473584
val,B-A,Place340,single,1,-0.5822076797485352,-0.5822079333042054
val,B-A,Place340,multi,1,-0.10671615600585938,-0.10669521022526629
val,B-A,Place341,all,2,0.010304570198059082,0.010335474208518436
val,B-A,Place341,single,1,-0.003529667854309082,-0.0035398523572935936
val,B-A,Place341,multi,1,0.024138808250427246,0.024210800774330465
val,B-A,Place343,all,2,-0.024884462356567383,-0.012800541483089511
val,B-A,Place343,single,1,0.10598516464233398,0.10597012867157818
val,B-A,Place343,multi,1,-0.15575408935546875,-0.1315712116377572
val,B-A,Place347,all,2,0.030796155333518982,0.029529167468243356
val,B-A,Place347,single,1,0.11232870817184448,0.11232505553485284
val,B-A,Place347,multi,1,-0.05073639750480652,-0.053266720598366124
val,B-A,Place348,all,2,-0.1139974594116211,-0.09546819772447146
val,B-A,Place348,single,1,-0.2155606746673584,-0.2155609488445418
val,B-A,Place348,multi,1,-0.012434244155883789,0.02462455339559888
val,B-A,Place354,all,2,-0.13705676794052124,-0.1331605717536991
val,B-A,Place354,single,1,-0.17816174030303955,-0.1781221552142218
val,B-A,Place354,multi,1,-0.09595179557800293,-0.0881989882931764
val,B-A,Place356,all,2,-0.5754930973052979,-0.5689497919770523
val,B-A,Place356,single,1,-0.16821348667144775,-0.16819171720663617
val,B-A,Place356,multi,1,-0.982772707939148,-0.9697078667474686
val,B-A,Place359,all,2,-0.07866677641868591,-0.0894019393027079
val,B-A,Place359,single,1,0.05639117956161499,0.056400635334386884
val,B-A,Place359,multi,1,-0.21372473239898682,-0.23520451393980268
val,B-A,Place360,all,2,0.9863132238388062,0.9821470562155099
val,B-A,Place360,single,1,0.14899182319641113,0.14899814351209928
val,B-A,Place360,multi,1,1.8236346244812012,1.8152959689189205
val,B-A,Place361,all,2,-0.19687426090240479,-0.19650682573706835
val,B-A,Place361,single,1,-0.19012069702148438,-0.19011575009966775
val,B-A,Place361,multi,1,-0.2036278247833252,-0.20289790137446895
val,B-A,Place362,all,2,0.6242225468158722,0.6204096427549795
val,B-A,Place362,single,1,0.14550697803497314,0.14554870299365197
val,B-A,Place362,multi,1,1.1029381155967712,1.095270582516307
val,B-A,Place37,all,2,-0.20658543705940247,-0.20837197644987704
val,B-A,Place37,single,1,-0.18315327167510986,-0.18310715309364745
val,B-A,Place37,multi,1,-0.23001760244369507,-0.23363679980610663
val,B-A,Place370,all,2,0.025397062301635742,0.0206832055097409
val,B-A,Place370,single,1,-0.18895304203033447,-0.18894672460725648
val,B-A,Place370,multi,1,0.23974716663360596,0.23031313562673827
val,B-A,Place372,all,2,0.2038387656211853,0.143444588752132
val,B-A,Place372,single,1,0.3788207769393921,0.3787287037159216
val,B-A,Place372,multi,1,0.028856754302978516,-0.09183952621165759
val,B-A,Place385,all,2,-0.1640714704990387,-0.1636996051277375
val,B-A,Place385,single,1,-0.4036226272583008,-0.40350231509427514
val,B-A,Place385,multi,1,0.07547968626022339,0.07610310483880012
val,B-A,Place389,all,2,-0.12513315677642822,-0.14439962130051132
val,B-A,Place389,single,1,-0.18668746948242188,-0.18668789313414602
val,B-A,Place389,multi,1,-0.06357884407043457,-0.10211134946687661
val,B-A,Place393,all,2,0.6221547722816467,0.3653607288856759
val,B-A,Place393,single,1,0.1499422788619995,0.14992986369620842
val,B-A,Place393,multi,1,1.094367265701294,0.5807915940751434
val,B-A,Place394,all,2,1.0231147110462189,0.6482412304929792
val,B-A,Place394,single,1,0.33199602365493774,0.3320152043454577
val,B-A,Place394,multi,1,1.7142333984375,0.9644672566405008
val,B-A,Place401,all,2,-0.039104677736759186,-0.0497297131827856
val,B-A,Place401,single,1,-0.04870672523975372,-0.04857974422722172
val,B-A,Place401,multi,1,-0.02950263023376465,-0.05087968213834948
val,B-A,Place405,all,2,-0.6230280995368958,-0.5909328997583368
val,B-A,Place405,single,1,-1.2171584367752075,-1.2170100060274829
val,B-A,Place405,multi,1,-0.028897762298583984,0.035144206510809184
val,B-A,Place407,all,2,-0.9326993227005005,-0.9256017512963023
val,B-A,Place407,single,1,-1.453749418258667,-1.4537416013129245
val,B-A,Place407,multi,1,-0.411649227142334,-0.39746190127968006
val,B-A,Place408,all,2,-0.8391116857528687,-0.8380841032252448
val,B-A,Place408,single,1,-1.1117501258850098,-1.1117506880707335
val,B-A,Place408,multi,1,-0.5664732456207275,-0.5644175183797562
val,B-A,Place410,all,2,-1.0869812667369843,-1.0806308615039888
val,B-A,Place410,single,1,-0.5305962562561035,-0.53059500659504
val,B-A,Place410,multi,1,-1.643366277217865,-1.6306667164129374
val,B-A,Place411,all,2,-2.1372321993112564,-2.135753192907947
val,B-A,Place411,single,1,-2.183521032333374,-2.1834625262420446
val,B-A,Place411,multi,1,-2.090943366289139,-2.0880438595738497
val,B-A,Place418,all,2,0.04084625840187073,0.03798295180180977
val,B-A,Place418,single,1,-0.011174678802490234,-0.011195059573695154
val,B-A,Place418,multi,1,0.09286719560623169,0.0871609631773147
val,B-A,Place422,all,2,-1.054631382226944,-1.01460001855963
val,B-A,Place422,single,1,-0.928294837474823,-0.9281544119162761
val,B-A,Place422,multi,1,-1.180967926979065,-1.1010456252029839
val,B-A,Place428,all,2,0.7070965766906738,0.6856148974249092
val,B-A,Place428,single,1,-0.1445627212524414,-0.14455992904870385
val,B-A,Place428,multi,1,1.558755874633789,1.5157897238985223
val,B-A,Place430,all,2,0.5614713430404663,0.54928986030593
val,B-A,Place430,single,1,0.19736266136169434,0.19736329401564223
val,B-A,Place430,multi,1,0.9255800247192383,0.9012164265962177
val,B-A,Place440,all,2,0.9364736676216125,0.7852784626797824
val,B-A,Place440,single,1,0.2888752222061157,0.28847969547765473
val,B-A,Place440,multi,1,1.5840721130371094,1.28207722988191
val,B-A,Place444,all,2,-2.842702589929104,-1.937636643151341
val,B-A,Place444,single,1,-0.18458358943462372,-0.1838573032814203
val,B-A,Place444,multi,1,-5.500821590423584,-3.691415983021262
val,B-A,Place451,all,2,1.2755639553070068,1.2673681066331746
val,B-A,Place451,single,1,1.4966521263122559,1.4966522839567151
val,B-A,Place451,multi,1,1.0544757843017578,1.038083929309634
val,B-A,Place461,all,2,0.44457557797431946,0.14775361579864343
val,B-A,Place461,single,1,-0.5382246375083923,-0.5381005868438811
val,B-A,Place461,multi,1,1.4273757934570312,0.8336078184411679
val,B-A,Place469,all,2,-0.02115654945373535,-0.03932552423985747
val,B-A,Place469,single,1,-0.16396045684814453,-0.16399879395534112
val,B-A,Place469,multi,1,0.12164735794067383,0.08534774547562618
val,B-A,Place471,all,2,0.2502598464488983,0.2715683398518347
val,B-A,Place471,single,1,0.27258557081222534,0.27298475899461433
val,B-A,Place471,multi,1,0.2279341220855713,0.270151920709055
val,B-A,Place472,all,2,-0.008928298950195312,0.01856631940615311
val,B-A,Place472,single,1,-0.09773635864257812,-0.09780602260906746
val,B-A,Place472,multi,1,0.0798797607421875,0.13493866142137367
val,B-A,Place473,all,2,1.072365790605545,1.0696388212348191
val,B-A,Place473,single,1,-0.28862327337265015,-0.28805286067912106
val,B-A,Place473,multi,1,2.4333548545837402,2.4273305031487595
val,B-A,Place476,all,2,0.03270652890205383,0.03154402225137598
val,B-A,Place476,single,1,-0.26088088750839233,-0.2603238274912354
val,B-A,Place476,multi,1,0.3262939453125,0.32341187199398735
val,B-A,Place478,all,2,0.38798096776008606,0.26439121789456693
val,B-A,Place478,single,1,0.2083612084388733,0.2083425190768421
val,B-A,Place478,multi,1,0.5676007270812988,0.3204399167122918
val,B-A,Place481,all,2,-0.45827430486679077,-0.41174240375112403
val,B-A,Place481,single,1,-0.1767643690109253,-0.1767674881341359
val,B-A,Place481,multi,1,-0.7397842407226562,-0.6467173193681122
val,B-A,Place483,all,2,0.19637197256088257,0.18577692659388068
val,B-A,Place483,single,1,0.2457413673400879,0.24573981948601897
val,B-A,Place483,multi,1,0.14700257778167725,0.12581403370174238
val,B-A,Place484,all,2,-0.4271073341369629,-0.5033346077450611
val,B-A,Place484,single,1,-0.9510042667388916,-0.951134398924466
val,B-A,Place484,multi,1,0.09678959846496582,-0.055534816565656175
val,B-A,Place485,all,2,-0.5814160108566284,-0.5944930526574171
val,B-A,Place485,single,1,-1.0696146488189697,-1.0696571135837416
val,B-A,Place485,multi,1,-0.09321737289428711,-0.11932899173109268
val,B-A,Place487,all,2,-0.5591137409210205,-0.35863211742856427
val,B-A,Place487,single,1,-0.0054416656494140625,-0.0054406831524413946
val,B-A,Place487,multi,1,-1.112785816192627,-0.7118235517046871
val,B-A,Place497,all,2,-0.0703357458114624,0.008119424403622677
val,B-A,Place497,single,1,0.5232787132263184,0.5232908283796878
val,B-A,Place497,multi,1,-0.6639502048492432,-0.5070519795724424
val,B-A,Place502,all,2,-0.9678173065185547,-0.7184049677697824
val,B-A,Place502,single,1,0.1553959846496582,0.15539703989427478
val,B-A,Place502,multi,1,-2.0910305976867676,-1.5922069754338395
val,B-A,Place503,all,2,0.13554662466049194,0.1422219555582264
val,B-A,Place503,single,1,0.2792211174964905,0.27949940736954165
val,B-A,Place503,multi,1,-0.008127868175506592,0.004944503746911133
val,B-A,Place504,all,2,0.49837666749954224,0.49072904222572167
val,B-A,Place504,single,1,0.6673147678375244,0.6673183091789494
val,B-A,Place504,multi,1,0.32943856716156006,0.3141397752724939
val,B-A,Place506,all,2,0.19881248474121094,0.10745672707079476
val,B-A,Place506,single,1,-0.0049648284912109375,-0.0049741751313024385
val,B-A,Place506,multi,1,0.4025897979736328,0.21988762927289196
val,B-A,Place512,all,2,0.7202204167842865,0.7109550576922132
val,B-A,Place512,single,1,-0.12360697984695435,-0.12384485452826643
val,B-A,Place512,multi,1,1.5640478134155273,1.545754969912693
val,B-A,Place515,all,2,-0.05445754528045654,-0.06328472517235328
val,B-A,Place515,single,1,-0.09717106819152832,-0.09719956505539518
val,B-A,Place515,multi,1,-0.011744022369384766,-0.029369885289311393
val,B-A,Place527,all,2,0.3526469022035599,0.2281945610581583
val,B-A,Place527,single,1,0.10226216912269592,0.10282438810750777
val,B-A,Place527,multi,1,0.6030316352844238,0.35356473400880883
val,B-A,Place532,all,2,0.21476468443870544,0.20971169187192748
val,B-A,Place532,single,1,-0.06216222047805786,-0.06188430233378078
val,B-A,Place532,multi,1,0.49169158935546875,0.48130768607763574
val,B-A,Place535,all,2,-0.14081105589866638,-0.14131252031129482
val,B-A,Place535,single,1,-0.22183650732040405,-0.22186373622453548
val,B-A,Place535,multi,1,-0.05978560447692871,-0.06076130439805416
val,B-A,Place536,all,2,-0.11705756187438965,-0.11779787698159086
val,B-A,Place536,single,1,-0.17716503143310547,-0.17714278955751334
val,B-A,Place536,multi,1,-0.05695009231567383,-0.058452964405668384
val,B-A,Place538,all,2,-0.26380132138729095,-0.23181652010588769
val,B-A,Place538,single,1,0.06730154156684875,0.06732807862986007
val,B-A,Place538,multi,1,-0.5949041843414307,-0.5309611188416354
val,B-A,Place548,all,2,0.08762374520301819,0.10776456797336145
val,B-A,Place548,single,1,0.34086161851882935,0.341174315328392
val,B-A,Place548,multi,1,-0.16561412811279297,-0.12564517938166908
val,B-A,Place556,all,2,-0.7042975351214409,-0.473213914272557
val,B-A,Place556,single,1,0.39348985254764557,0.39369291153261465
val,B-A,Place556,multi,1,-1.8020849227905273,-1.3401207400777286
val,B-A,Place574,all,2,-0.8888938426971436,-0.8272862546234783
val,B-A,Place574,single,1,-0.037428855895996094,-0.03742903639683959
val,B-A,Place574,multi,1,-1.740358829498291,-1.6171434728501168
val,B-A,Place588,all,2,-0.043121933937072754,-0.03441609438837823
val,B-A,Place588,single,1,0.12617802619934082,0.12616922331895974
val,B-A,Place588,multi,1,-0.21242189407348633,-0.1950014120957162
val,B-A,Place590,all,2,0.3164088577032089,0.23082099968298841
val,B-A,Place590,single,1,0.09167763590812683,0.09163006571243848
val,B-A,Place590,multi,1,0.541140079498291,0.37001193365353835
val,B-A,Place593,all,2,0.5693634748458862,0.5641848217252536
val,B-A,Place593,single,1,0.48029232025146484,0.48028684037931946
val,B-A,Place593,multi,1,0.6584346294403076,0.6480828030711878
val,B-A,Place598,all,2,-0.33978473395109177,-0.2627613623677504
val,B-A,Place598,single,1,-0.002021893858909607,-0.0020699942788812986
val,B-A,Place598,multi,1,-0.6775475740432739,-0.5234527304566194
val,B-A,Place6,all,2,-0.8363579660654068,-0.8042469898763825
val,B-A,Place6,single,1,-1.0281403362751007,-1.0283122813646173
val,B-A,Place6,multi,1,-0.6445755958557129,-0.5801816983881478
val,B-A,Place612,all,2,-0.03526192903518677,-0.019330528195977914
val,B-A,Place612,single,1,0.06506383419036865,0.0650624036437013
val,B-A,Place612,multi,1,-0.1355876922607422,-0.10372346003565713
val,B-A,Place615,all,2,0.012537389993667603,-0.07227451340825217
val,B-A,Place615,single,1,0.07617312669754028,0.07612125670351128
val,B-A,Place615,multi,1,-0.05109834671020508,-0.2206702835200156
val,B-A,Place618,all,2,-0.2404804676771164,-0.21578634471149222
val,B-A,Place618,single,1,-0.006706327199935913,-0.006721074237771574
val,B-A,Place618,multi,1,-0.4742546081542969,-0.42485161518521286
val,B-A,Place62,all,2,-0.2322750985622406,-0.23134912161388543
val,B-A,Place62,single,1,-0.03622037172317505,-0.036296377192005846
val,B-A,Place62,multi,1,-0.42832982540130615,-0.426401866035765
val,B-A,Place624,all,2,0.08395063877105713,0.08738409669274161
val,B-A,Place624,single,1,-0.05953574180603027,-0.05952680175550351
val,B-A,Place624,multi,1,0.22743701934814453,0.23429499514098673
val,B-A,Place625,all,2,0.01774907112121582,-0.0386320407410925
val,B-A,Place625,single,1,-0.38226985931396484,-0.38227470622385873
val,B-A,Place625,multi,1,0.4177680015563965,0.30501062474167373
val,B-A,Place639,all,2,0.13690020143985748,0.13173523028917472
val,B-A,Place639,single,1,0.13810566067695618,0.13816893007225095
val,B-A,Place639,multi,1,0.1356947422027588,0.1253015305060985
val,B-A,Place648,all,2,-0.5193743407726288,-0.5048229342578391
val,B-A,Place648,single,1,-0.6121990084648132,-0.6122417066886126
val,B-A,Place648,multi,1,-0.42654967308044434,-0.3974041618270656
val,B-A,Place650,all,2,0.5226249396800995,0.5079950844261738
val,B-A,Place650,single,1,0.8850917220115662,0.8849611850560479
val,B-A,Place650,multi,1,0.1601581573486328,0.13102898379629968
val,B-A,Place651,all,2,0.015353143215179443,0.032921825772868785
val,B-A,Place651,single,1,0.10476291179656982,0.10472672979823361
val,B-A,Place651,multi,1,-0.07405662536621094,-0.03888307825249604
val,B-A,Place655,all,2,-0.03151297569274902,-0.028989288525502616
val,B-A,Place655,single,1,0.001728057861328125,0.0017082629010405914
val,B-A,Place655,multi,1,-0.06475400924682617,-0.05968683995204582
val,B-A,Place657,all,2,-0.4252997934818268,-0.3597959881016236
val,B-A,Place657,single,1,-0.0667908787727356,-0.06684784630404628
val,B-A,Place657,multi,1,-0.783808708190918,-0.6527441298992009
val,B-A,Place662,all,2,0.1128804087638855,0.08273593620406683
val,B-A,Place662,single,1,0.11536777019500732,0.11532562574314364
val,B-A,Place662,multi,1,0.11039304733276367,0.05014624666499001
val,B-A,Place663,all,2,0.08806480467319489,0.08039892158585904
val,B-A,Place663,single,1,0.09039929509162903,0.09036522099591093
val,B-A,Place663,multi,1,0.08573031425476074,0.07043262217580715
val,B-A,Place665,all,2,-0.0797719731926918,-0.07809011385032923
val,B-A,Place665,single,1,0.11192373931407928,0.11123428855600034
val,B-A,Place665,multi,1,-0.2714676856994629,-0.2674145162566588
val,B-A,Place666,all,2,-1.3849342614412308,-1.3680554764680246
val,B-A,Place666,single,1,-0.2249251902103424,-0.22414851929080304
val,B-A,Place666,multi,1,-2.544943332672119,-2.5119624336452464
val,B-A,Place675,all,2,0.08382511138916016,0.06522819024793614
val,B-A,Place675,single,1,0.10594594478607178,0.10577055287158199
val,B-A,Place675,multi,1,0.061704277992248535,0.02468582762429028
val,B-A,Place678,all,2,0.29954423010349274,0.1588767423129384
val,B-A,Place678,single,1,0.07190254330635071,0.07243639228150114
val,B-A,Place678,multi,1,0.5271859169006348,0.2453170923443757
val,B-A,Place690,all,2,0.36344191431999207,0.3118652305220781
val,B-A,Place690,single,1,-0.00017148256301879883,-0.00010946989188431733
val,B-A,Place690,multi,1,0.7270553112030029,0.6238399309360405
val,B-A,Place694,all,2,0.22774580121040344,0.18410018469215456
val,B-A,Place694,single,1,0.055000483989715576,0.054996112854880014
val,B-A,Place694,multi,1,0.4004911184310913,0.31320425652942907
val,B-A,Place695,all,2,-0.008644893765449524,-0.008992120707182624
val,B-A,Place695,single,1,-0.12827220559120178,-0.1281830963239808
val,B-A,Place695,multi,1,0.11098241806030273,0.11019885490961556
val,B-A,Place696,all,2,-0.13321204483509064,-0.12667496217547553
val,B-A,Place696,single,1,-0.11992302536964417,-0.11954975250140742
val,B-A,Place696,multi,1,-0.1465010643005371,-0.13380017184954363
val,B-A,Place698,all,2,-0.05445203185081482,-0.06053297582663564
val,B-A,Place698,single,1,-0.13140112161636353,-0.13118985818383466
val,B-A,Place698,multi,1,0.022497057914733887,0.010123906530563387
val,B-A,Place699,all,2,0.009136885404586792,0.005999210902552114
val,B-A,Place699,single,1,0.00916677713394165,0.009226976540499185
val,B-A,Place699,multi,1,0.009106993675231934,0.0027714452646050436
val,B-A,Place703,all,2,0.18581578135490417,0.17944072487137985
val,B-A,Place703,single,1,0.0784640908241272,0.07863552775312466
val,B-A,Place703,multi,1,0.29316747188568115,0.28024592198963505
val,B-A,Place705,all,2,0.0649290680885315,0.08109141678945775
val,B-A,Place705,single,1,-0.11206543445587158,-0.11203827290504065
val,B-A,Place705,multi,1,0.24192357063293457,0.27422110648395615
val,B-A,Place710,all,2,0.15694314241409302,0.12291113765530326
val,B-A,Place710,single,1,0.21684205532073975,0.2168134361976437
val,B-A,Place710,multi,1,0.09704422950744629,0.029008839112962814
val,B-A,Place720,all,2,-0.11820542067289352,-0.1016133023667879
val,B-A,Place720,single,1,-0.3734845966100693,-0.3738657233438074
val,B-A,Place720,multi,1,0.13707375526428223,0.17063911861023162
val,B-A,Place722,all,2,-0.11720718443393707,-0.09894806009526178
val,B-A,Place722,single,1,-0.2603164613246918,-0.2600120161533072
val,B-A,Place722,multi,1,0.025902092456817627,0.06211589596278366
val,B-A,Place725,all,2,-0.44142670929431915,-0.3813387479986097
val,B-A,Place725,single,1,0.08939811587333679,0.08945408634022556
val,B-A,Place725,multi,1,-0.9722515344619751,-0.8521315823374449
val,B-A,Place73,all,2,0.16586363315582275,0.17471014158098663
val,B-A,Place73,single,1,0.45650768280029297,0.45647060617784163
val,B-A,Place73,multi,1,-0.12478041648864746,-0.10705032301586836
val,B-A,Place731,all,2,0.28028105571866035,0.2913674192114731
val,B-A,Place731,single,1,0.8115303292870522,0.809312191868098
val,B-A,Place731,multi,1,-0.25096821784973145,-0.22657735344515184
val,B-A,Place732,all,2,-0.0077268462628126144,-0.012554760917363739
val,B-A,Place732,single,1,-0.24591588601469994,-0.2422424255699569
val,B-A,Place732,multi,1,0.2304621934890747,0.21713290373522942
val,B-A,Place733,all,2,0.04865966737270355,0.05233571851719157
val,B-A,Place733,single,1,0.1979198157787323,0.19822753742000515
val,B-A,Place733,multi,1,-0.1006004810333252,-0.09355610038562201
val,B-A,Place743,all,2,-0.32408690452575684,-0.2824060002133074
val,B-A,Place743,single,1,0.133691668510437,0.1336269222254315
